num_clients,rouge1_f1,rouge2_f1,rougeL_f1,bleu1,bleu2,bleu3,bleu4,loss,gini_coefficient,cv_contribution,mean_contribution,min_contribution,max_contribution
2.00,41.81,19.31,29.17,39.53,26.22,19.58,15.01,1.8358,0.0000,0.0000,146.70,146.70,146.70
2.00,41.90,19.22,28.83,37.76,24.93,18.61,14.24,1.8030,0.0000,0.0000,119.34,119.34,119.34
2.00,42.35,19.70,29.39,38.82,25.85,19.36,14.86,1.7981,0.0000,0.0000,105.91,105.91,105.91
2.00,42.34,19.65,29.50,39.26,26.14,19.58,15.04,1.7954,0.0000,0.0000,100.95,100.95,100.95
2.00,42.06,19.52,29.49,39.90,26.50,19.86,15.28,1.8121,0.0000,0.0000,91.21,91.21,91.21
3.00,41.05,18.85,28.67,39.00,25.77,19.26,14.80,1.8620,0.0000,0.0000,124.58,124.58,124.58
3.00,41.61,19.43,29.33,39.54,26.34,19.77,15.23,1.8074,0.0000,0.0000,103.24,103.24,103.24
3.00,41.54,19.30,29.27,40.14,26.71,19.99,15.34,1.7997,0.0000,0.0000,90.91,90.91,90.91
3.00,42.10,19.78,29.49,39.61,26.51,19.95,15.37,1.7878,0.0000,0.0000,94.41,94.41,94.41
3.00,41.80,19.30,29.25,39.38,26.15,19.59,15.06,1.7964,0.0000,0.0000,86.24,86.24,86.24
4.00,41.57,19.22,28.74,36.85,24.46,18.36,14.15,1.8214,0.0005,0.0009,111.15,111.04,111.25
4.00,41.74,19.43,29.15,38.24,25.46,19.16,14.78,1.7972,0.0129,0.0258,90.67,88.33,93.01
4.00,42.20,19.74,29.50,38.61,25.74,19.37,14.96,1.7662,0.0261,0.0521,83.43,79.08,87.78
4.00,42.52,20.15,30.02,41.00,27.56,20.77,16.04,1.7430,0.0031,0.0062,81.79,81.28,82.30
4.00,42.50,20.07,29.76,38.30,25.66,19.36,14.99,1.7535,0.0127,0.0254,76.79,74.84,78.75
5.00,41.04,18.88,28.74,38.02,25.20,18.87,14.53,1.8440,0.0009,0.0018,102.18,102.00,102.36
5.00,41.74,19.24,29.09,38.89,25.83,19.38,14.93,1.8025,0.0147,0.0294,84.80,82.31,87.29
5.00,41.86,19.48,29.19,38.22,25.43,19.12,14.75,1.7941,0.0264,0.0528,77.62,73.52,81.71
5.00,42.15,19.73,29.36,38.38,25.65,19.28,14.86,1.7730,0.0067,0.0134,78.00,76.95,79.04
5.00,42.43,20.16,29.85,39.66,26.65,20.12,15.58,1.7685,0.0034,0.0068,73.74,73.23,74.24
6.00,41.53,19.24,28.71,36.72,24.37,18.26,14.04,1.8275,0.0008,0.0015,95.61,95.42,95.75
6.00,42.14,19.73,29.41,37.19,24.82,18.70,14.46,1.7930,0.0081,0.0171,80.99,79.03,81.99
6.00,42.21,19.91,29.63,40.34,27.04,20.39,15.79,1.7693,0.0164,0.0309,73.71,71.31,76.77
6.00,42.62,20.15,29.91,38.68,25.94,19.61,15.21,1.7613,0.0167,0.0349,71.16,67.65,72.98
6.00,42.69,20.33,29.99,39.71,26.77,20.29,15.78,1.7480,0.0135,0.0273,66.95,64.37,68.43
7.00,41.44,19.10,28.77,37.62,24.91,18.70,14.41,1.8493,0.0022,0.0041,90.36,89.90,90.80
7.00,41.69,19.23,29.19,38.46,25.47,19.05,14.62,1.7988,0.0085,0.0178,77.00,75.99,78.93
7.00,42.02,19.63,29.39,38.00,25.26,19.03,14.70,1.7903,0.0116,0.0217,69.77,67.75,71.39
7.00,41.97,19.53,29.38,38.62,25.70,19.30,14.87,1.7792,0.0247,0.0475,67.34,64.30,71.77
7.00,42.28,19.83,29.63,38.25,25.59,19.28,14.90,1.7757,0.0308,0.0574,66.20,61.16,70.33
8.00,41.30,18.96,28.67,36.76,24.30,18.17,13.93,1.8408,0.0021,0.0038,86.41,85.98,86.86
8.00,41.51,19.14,28.83,36.62,24.28,18.19,13.97,1.8126,0.0095,0.0184,74.55,73.07,76.01
8.00,42.11,19.62,29.58,38.93,25.94,19.46,14.97,1.7875,0.0118,0.0217,68.54,66.35,70.52
8.00,41.94,19.69,29.80,39.95,26.70,20.11,15.55,1.7708,0.0162,0.0299,66.18,64.06,68.81
8.00,42.15,19.82,29.69,39.82,26.69,20.09,15.51,1.7578,0.0132,0.0239,63.47,61.44,65.34
9.00,40.97,18.76,28.24,36.41,23.98,17.89,13.70,1.8544,0.0017,0.0031,83.07,82.74,83.46
9.00,41.54,19.09,28.71,37.60,24.87,18.57,14.23,1.8099,0.0082,0.0157,72.34,70.96,73.48
9.00,41.96,19.53,29.30,38.66,25.68,19.27,14.84,1.7881,0.0144,0.0260,66.22,63.67,68.30
9.00,41.87,19.59,29.33,38.42,25.56,19.19,14.80,1.7776,0.0152,0.0276,63.39,60.84,65.70
9.00,41.84,19.57,29.55,38.63,25.77,19.37,14.96,1.7683,0.0106,0.0189,62.07,60.48,63.61
10.00,41.01,18.61,28.26,35.64,23.42,17.42,13.29,1.8548,0.0022,0.0045,79.86,79.54,80.57
10.00,41.56,19.08,28.69,36.21,23.88,17.82,13.64,1.8101,0.0085,0.0155,70.43,69.01,71.78
10.00,41.77,19.27,28.92,37.00,24.51,18.31,14.04,1.7865,0.0100,0.0185,64.65,62.59,66.02
10.00,42.06,19.50,29.38,38.71,25.70,19.26,14.80,1.7743,0.0133,0.0245,61.87,60.04,64.03
10.00,42.16,19.73,29.48,38.62,25.67,19.25,14.82,1.7653,0.0128,0.0240,60.24,58.45,61.87
