model,num_clients,alpha,run_id,round,accuracy,f1,precision,recall,loss
BART-large,2,0.1,20250825_080640,22,0.9676942775534324,0.9721899033661222,0.9743757640547416,0.9715355067467744,0.0987487053914443
BART-large,2,0.5,20250826_041211,22,0.965791701947502,0.9722912127460044,0.9737391003797832,0.9720575783234549,0.1090003927371891
BART-large,3,0.1,20250825_101220,22,0.9698119171803382,0.9734639649884268,0.9752821016297886,0.972972972972973,0.0959048565659556
BART-large,3,0.5,20250826_061812,21,0.9678986272439282,0.9423206150319812,0.95460943049692,0.9374868004223864,0.1110063524011402
BART-large,4,0.1,20250825_122014,22,0.9723876556578236,0.9514765959574112,0.9531373564140272,0.9515430427720628,0.0825076348590387
BART-large,4,0.5,20250826_083232,22,0.9629782833505688,0.9596496248410824,0.9611345648238512,0.9596690796277144,0.1146460724416312
BART-large,5,0.1,20250825_142946,21,0.9696641386782232,0.9653856172107084,0.9675580908979428,0.9661971830985916,0.0993334106490943
BART-large,5,0.5,20250826_104945,22,0.958372165268717,0.9706931383640072,0.971702521986962,0.9704877291084189,0.1365771257829426
BART-large,6,0.1,20250825_164159,21,0.9756402248594628,0.9806614527517532,0.982188751225018,0.980637101811368,0.0723972374340808
BART-large,6,0.5,20250826_130925,22,0.9581187778922072,0.9628534828778466,0.9649782707625336,0.9629248197734296,0.1354394842446335
BART-large,7,0.1,20250825_185618,21,0.9729279466888796,0.9787497541998156,0.9792617050510491,0.9791753436068305,0.0875880373140025
BART-large,7,0.5,20250826_153117,22,0.9462326261887344,0.9512725608237566,0.956172089787286,0.951353328456474,0.1598332850248907
BART-large,8,0.1,20250825_211238,22,0.9711176224361656,0.968114213191544,0.971594317492044,0.9669317706153202,0.0872967527433879
BART-large,8,0.5,20250826_175548,22,0.95970415710278,0.9626043178838812,0.9656764261508916,0.9617444529456772,0.134410413820664
BART-large,9,0.1,20250825_233032,22,0.9659609796596098,0.9735655941258754,0.9745892246833184,0.9734329597343296,0.1019332853176928
BART-large,9,0.5,20250826_202248,22,0.9406830437387658,0.9567268592483557,0.9569468088795834,0.9580587177950868,0.20879762097703
BART-large,10,0.1,20250826_015022,22,0.9703632887189292,0.9816856917300932,0.9838972682696516,0.9818355640535372,0.1030758019325231
BART-large,10,0.5,20250826_225142,20,0.9511930585683296,0.970907153220196,0.9711148413941412,0.9718004338394792,0.1628878133969171
DistilBART,2,0.1,20250824_045549,20,0.9730129025903672,0.977077465929862,0.9810538935214708,0.9757707081650744,0.0861663837695318
DistilBART,2,0.5,20250824_082411,22,0.97307366638442,0.9753495096592396,0.9908369235851056,0.9632514817950888,0.0898716856411467
DistilBART,3,0.1,20250824_051244,19,0.9764501343448712,0.9731962930888854,0.9800740350603568,0.969337758811443,0.0696401632650499
DistilBART,3,0.5,20250824_084103,22,0.9748680042238648,0.9672727848472032,0.9780998474929868,0.9624076029567054,0.0849396866744083
DistilBART,4,0.1,20250824_053040,21,0.9756361667569032,0.925908879407554,0.9914441550998804,0.8817000541418516,0.0762942356276184
DistilBART,4,0.5,20250824_085908,20,0.971664943123061,0.9412509773673488,0.9751266709604876,0.927817993795243,0.098786690596279
DistilBART,5,0.1,20250824_054950,21,0.9731310942578548,0.91572572419245,0.9719826220540868,0.8894907908992417,0.0905877667206104
DistilBART,5,0.5,20250824_091831,22,0.9680880330123796,0.9630252369503004,0.970436846754777,0.9603851444291608,0.1061892302241176
DistilBART,6,0.1,20250824_061012,22,0.976264834478451,0.8569651229200641,0.9878957974498264,0.7651467832604623,0.1018121750093996
DistilBART,6,0.5,20250824_093913,20,0.9629248197734296,0.9586062896366851,0.980107326787416,0.9464469618949536,0.1313942724487698
DistilBART,7,0.1,20250824_063151,22,0.9724919093851132,0.8600410568431783,0.9959012557172492,0.7883495145631068,0.0739439720235112
DistilBART,7,0.5,20250824_100108,22,0.9553767373811266,0.952931490116095,0.9689023331406084,0.942209217264082,0.148641589005091
DistilBART,8,0.1,20250824_065441,22,0.9732105483465884,0.8994895731976283,0.9862318067522536,0.8430305567182922,0.0953485355138157
DistilBART,8,0.5,20250824_102420,21,0.96684519255292,0.9704108696621414,0.9764787583948564,0.9676103034940068,0.1168950080054781
DistilBART,9,0.1,20250824_071849,22,0.9746514575411912,0.971947680547221,0.9906710492068784,0.958681875792142,0.0859476072715618
DistilBART,9,0.5,20250824_104844,22,0.9356254572055596,0.9138913458727222,0.9568472798475977,0.8866130212143379,0.2430228881083082
DistilBART,10,0.1,20250824_074413,5,0.9110898661567878,0.3323787114130762,0.5451382123114813,0.251434034416826,0.5470427711578932
DistilBART,10,0.5,20250824_111425,20,0.9473969631236444,0.9263588088280714,0.952505184549872,0.9072668112798264,0.2056237478692341
