model,num_clients,run_id,alpha,client_id,num_samples,kl_to_global,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19
BART-large,5,20250825_142946,0.1,0.0,3417.0,1.007352743093421,0.0,642.0,0.0,0.0,419.0,2.0,275.0,0.0,1.0,604.0,14.0,0.0,68.0,0.0,0.0,105.0,704.0,14.0,132.0,437.0
BART-large,5,20250825_142946,0.1,1.0,2590.0,1.1824424844368149,0.0,2.0,733.0,144.0,296.0,492.0,0.0,0.0,0.0,0.0,684.0,1.0,87.0,104.0,0.0,8.0,0.0,0.0,34.0,5.0
BART-large,5,20250825_142946,0.1,2.0,4615.0,0.7518016703389239,639.0,115.0,55.0,538.0,3.0,296.0,121.0,0.0,796.0,0.0,94.0,790.0,75.0,673.0,0.0,17.0,24.0,0.0,362.0,17.0
BART-large,5,20250825_142946,0.1,3.0,3225.0,1.1045595611915335,0.0,19.0,0.0,104.0,41.0,0.0,384.0,727.0,0.0,189.0,0.0,0.0,187.0,0.0,790.0,0.0,0.0,738.0,3.0,43.0
BART-large,5,20250825_142946,0.1,4.0,1229.0,1.7773416564263955,0.0,0.0,0.0,0.0,11.0,0.0,0.0,65.0,0.0,2.0,7.0,2.0,370.0,15.0,0.0,668.0,0.0,0.0,89.0,0.0
BART-large,5,20250826_104945,0.5,0.0,3635.0,0.4456660865935417,14.0,307.0,5.0,0.0,236.0,89.0,249.0,40.0,188.0,12.0,456.0,400.0,375.0,419.0,38.0,59.0,271.0,1.0,168.0,308.0
BART-large,5,20250826_104945,0.5,1.0,2713.0,0.4923054131542254,44.0,99.0,524.0,136.0,214.0,357.0,148.0,346.0,74.0,2.0,89.0,7.0,41.0,188.0,79.0,12.0,30.0,3.0,292.0,28.0
BART-large,5,20250826_104945,0.5,2.0,3219.0,0.4672271891434544,576.0,217.0,235.0,229.0,81.0,295.0,306.0,145.0,198.0,313.0,38.0,3.0,9.0,20.0,65.0,354.0,111.0,0.0,22.0,2.0
BART-large,5,20250826_104945,0.5,3.0,2732.0,0.5635510843030099,1.0,152.0,16.0,298.0,135.0,20.0,11.0,23.0,6.0,452.0,14.0,34.0,121.0,162.0,564.0,262.0,287.0,81.0,31.0,62.0
BART-large,5,20250826_104945,0.5,4.0,2777.0,0.5593805179956712,4.0,3.0,8.0,123.0,104.0,29.0,66.0,238.0,331.0,16.0,202.0,349.0,241.0,3.0,44.0,111.0,29.0,667.0,107.0,102.0
BART-large,7,20250825_185618,0.1,0.0,1081.0,1.822403743156218,0.0,16.0,8.0,0.0,8.0,0.0,750.0,0.0,0.0,96.0,77.0,0.0,0.0,13.0,5.0,24.0,0.0,0.0,84.0,0.0
BART-large,7,20250825_185618,0.1,1.0,2222.0,1.3759129856166563,0.0,553.0,58.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,20.0,308.0,266.0,0.0,0.0,504.0,492.0
BART-large,7,20250825_185618,0.1,2.0,2401.0,1.478139589376168,639.0,0.0,141.0,0.0,0.0,537.0,0.0,0.0,796.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,237.0,0.0,0.0,0.0
BART-large,7,20250825_185618,0.1,3.0,2362.0,1.1536485031091217,0.0,209.0,31.0,108.0,0.0,17.0,30.0,4.0,1.0,0.0,0.0,476.0,0.0,749.0,208.0,506.0,0.0,23.0,0.0,0.0
BART-large,7,20250825_185618,0.1,4.0,3090.0,1.4249186865077113,0.0,0.0,0.0,0.0,760.0,154.0,0.0,788.0,0.0,645.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,728.0,3.0,8.0
BART-large,7,20250825_185618,0.1,5.0,1167.0,1.9018980623560784,0.0,0.0,0.0,678.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,317.0,0.0,10.0,0.0,1.0,9.0,0.0,6.0,2.0
BART-large,7,20250825_185618,0.1,6.0,2753.0,1.2159781315915084,0.0,0.0,550.0,0.0,0.0,82.0,0.0,0.0,0.0,54.0,510.0,0.0,782.0,0.0,269.0,0.0,482.0,1.0,23.0,0.0
BART-large,7,20250826_153117,0.5,0.0,1420.0,0.5858925790266105,13.0,81.0,121.0,1.0,112.0,10.0,377.0,14.0,22.0,153.0,142.0,29.0,168.0,17.0,6.0,12.0,46.0,26.0,63.0,7.0
