model,num_clients,alpha,total_clients,avg_samples,avg_kl
BART-large,2,0.1,2,7538.0,0.5924454415556493
BART-large,2,0.5,2,7538.0,0.2417077272996934
BART-large,3,0.1,3,5025.333333333333,0.7749554383576074
BART-large,3,0.5,3,5025.333333333333,0.3830064142219962
BART-large,4,0.1,4,3769.0,1.066756808238464
BART-large,4,0.5,4,3769.0,0.49442459554008034
BART-large,5,0.1,5,3015.2,1.1646996230974178
BART-large,5,0.5,5,3015.2,0.5056260582379805
BART-large,6,0.1,6,2512.6666666666665,1.3084406184745412
BART-large,6,0.5,6,2512.6666666666665,0.650650174285872
BART-large,7,0.1,7,2153.714285714286,1.4818428145304945
BART-large,7,0.5,7,2153.714285714286,0.6300045684455495
BART-large,8,0.1,8,1884.5,1.4268526682288472
BART-large,8,0.5,8,1884.5,0.6312325651959924
BART-large,9,0.1,9,1675.111111111111,1.3417128101241904
BART-large,9,0.5,9,1675.111111111111,0.6047269735904715
BART-large,10,0.1,10,1507.6,1.5000285916868925
BART-large,10,0.5,10,1507.6,0.6731920286714023
