model,num_clients,accuracy_mean,accuracy_std,accuracy_count,f1_mean,f1_std,f1_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,loss_mean,loss_std,loss_count
BART-large,2,0.856,0.0957,132,0.8738,0.0917,132,0.881,0.0881,132,0.8741,0.0912,132,0.2505,0.239,132
BART-large,3,0.8553,0.0977,176,0.8766,0.092,176,0.8864,0.0832,176,0.8779,0.0901,176,0.2947,0.2597,176
BART-large,4,0.8573,0.0899,220,0.8849,0.0836,220,0.8917,0.0787,220,0.8865,0.0816,220,0.3214,0.2584,220
BART-large,5,0.8432,0.0942,264,0.8792,0.0852,264,0.8883,0.0774,264,0.881,0.0826,264,0.379,0.2878,264
BART-large,6,0.8426,0.0899,308,0.8783,0.0848,308,0.8879,0.0771,308,0.8825,0.0805,308,0.395,0.2759,308
BART-large,7,0.8322,0.1011,352,0.8737,0.0999,352,0.8841,0.09,352,0.8776,0.091,352,0.4442,0.319,352
BART-large,8,0.8229,0.0876,396,0.8752,0.0821,396,0.8849,0.076,396,0.8798,0.0769,396,0.4803,0.3026,396
BART-large,9,0.8289,0.0871,440,0.8805,0.0758,440,0.8889,0.0708,440,0.8844,0.0718,440,0.4801,0.2972,440
BART-large,10,0.818,0.0887,484,0.8743,0.077,484,0.884,0.0716,484,0.8785,0.0734,484,0.51,0.3035,484
DistilBART,2,0.8451,0.123,132,0.8202,0.1889,132,0.842,0.1865,132,0.8168,0.179,132,0.2364,0.3143,132
DistilBART,3,0.8436,0.1273,176,0.7998,0.2022,176,0.828,0.1983,176,0.7983,0.1892,176,0.3018,0.3589,176
DistilBART,4,0.8412,0.1231,220,0.7932,0.203,220,0.8321,0.1996,220,0.7866,0.19,220,0.3564,0.3823,220
DistilBART,5,0.824,0.125,264,0.7617,0.205,264,0.8118,0.2018,264,0.7577,0.1906,264,0.4417,0.4215,264
DistilBART,6,0.8176,0.1179,308,0.7286,0.2024,308,0.7982,0.1992,308,0.7216,0.1904,308,0.489,0.4154,308
DistilBART,7,0.8073,0.1153,352,0.7325,0.2007,352,0.8006,0.1954,352,0.7225,0.1858,352,0.5511,0.4351,352
DistilBART,8,0.7956,0.1158,396,0.7268,0.1991,396,0.7945,0.1981,396,0.7166,0.1882,396,0.6063,0.4606,396
DistilBART,9,0.7866,0.1163,440,0.7111,0.1966,440,0.7821,0.1894,440,0.7023,0.18,440,0.6601,0.4681,440
DistilBART,10,0.7718,0.1185,484,0.7129,0.1923,484,0.7781,0.186,484,0.6973,0.1806,484,0.7225,0.494,484
