,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,66,1,0,0,0,0,0,8,1,0,2,1,2,8,3,23,6,20,7,12
true_1,0,120,7,1,12,30,2,2,0,1,0,0,12,2,4,1,0,0,1,0
true_2,0,13,104,4,22,20,8,5,0,1,1,0,16,0,3,0,0,0,0,0
true_3,0,4,16,51,53,4,30,4,1,1,0,4,27,1,0,0,0,0,0,0
true_4,0,2,6,3,145,2,6,11,0,1,0,0,15,1,0,0,0,1,0,0
true_5,0,8,7,0,2,175,2,2,0,0,0,0,1,0,0,0,1,0,0,0
true_6,0,0,2,0,2,0,166,12,1,2,0,0,6,3,1,0,0,0,0,0
true_7,0,0,0,0,3,1,6,170,4,1,0,0,5,1,0,1,3,2,1,0
true_8,0,0,0,0,2,0,7,30,137,1,3,0,2,5,1,0,6,2,3,0
true_9,0,0,0,0,0,1,1,9,0,179,0,2,0,2,0,0,0,5,0,0
true_10,0,0,1,0,0,0,0,9,1,17,167,0,0,0,0,1,2,2,0,0
true_11,2,0,5,0,2,2,4,3,0,0,0,147,12,3,3,0,6,5,4,0
true_12,0,2,0,0,6,2,8,6,0,0,0,3,160,7,1,0,2,0,0,0
true_13,0,1,0,0,0,1,2,7,0,0,0,0,3,181,1,0,0,1,1,0
true_14,0,0,0,0,2,1,1,10,0,3,0,1,9,9,152,0,3,3,3,0
true_15,8,1,0,0,0,0,0,9,0,1,0,0,0,4,2,161,2,3,4,4
true_16,2,0,1,0,0,1,0,2,0,2,0,6,0,1,0,1,144,4,15,3
true_17,0,0,0,0,0,0,0,4,0,0,0,1,0,4,1,0,2,171,5,0
true_18,1,0,0,0,1,1,1,6,0,2,1,5,0,7,2,0,19,13,96,0
true_19,7,0,0,0,0,0,1,6,0,0,0,1,1,5,1,54,16,7,6,21
