class,precision,recall,f1,support,roc_auc,pr_auc
0,0.8082191780821918,0.36875,0.5064377682403434,160,0.9633206371191135,0.6384264805758924
1,0.7712765957446809,0.7435897435897436,0.7571801566579635,195,0.9690328133405055,0.789230369078728
2,0.6016597510373444,0.7360406091370558,0.6621004566210046,197,0.9677985341272175,0.7596351084345494
3,0.6902173913043478,0.6479591836734694,0.6684210526315789,196,0.9743242008610944,0.744639719816461
4,0.7526881720430108,0.7253886010362695,0.7387862796833773,193,0.9757865812234467,0.8289867668106703
5,0.8480392156862745,0.8737373737373737,0.8606965174129353,198,0.9903761862748424,0.9122412522715977
6,0.8252427184466019,0.8717948717948718,0.8478802992518704,195,0.9902126591357361,0.9188078907554468
7,0.594306049822064,0.8434343434343434,0.697286012526096,198,0.9847516316581265,0.8777070551018058
8,0.8641304347826086,0.7989949748743719,0.8302872062663186,199,0.982394470251003,0.8896495353180702
9,0.864321608040201,0.864321608040201,0.864321608040201,199,0.9932285341577672,0.9370057118341112
10,0.917098445595855,0.885,0.9007633587786259,200,0.9940700280112045,0.9470239976466581
11,0.8095238095238095,0.7727272727272727,0.7906976744186046,198,0.9763918581107831,0.8444836453062479
12,0.7752808988764045,0.700507614213198,0.736,197,0.9723916400641587,0.7947144843920934
13,0.8811881188118812,0.898989898989899,0.89,198,0.9899930152589728,0.9401579954910481
14,0.8876404494382022,0.8020304568527918,0.8426666666666667,197,0.9884170761819114,0.9125538535144093
15,0.640625,0.8241206030150754,0.7208791208791209,199,0.9795730261500728,0.8197797532265062
16,0.6872037914691943,0.7967032967032966,0.7379134860050891,182,0.9830524826344225,0.8200109156434503
17,0.8631578947368421,0.8723404255319149,0.8677248677248677,188,0.9938552098554236,0.9316048653899691
18,0.7280701754385965,0.535483870967742,0.6171003717472119,155,0.9711007004863249,0.7093545939389924
19,0.35398230088495575,0.31746031746031744,0.33472803347280333,126,0.9327857926924886,0.30686132852697307
