client_id,class_id,count
0,0,12
0,1,70
0,2,79
0,3,0
0,4,1
0,5,84
0,6,232
0,7,13
0,8,129
0,9,57
0,10,0
0,11,1
0,12,0
0,13,53
0,14,177
0,15,92
0,16,151
0,17,9
0,18,0
0,19,27
1,0,39
1,1,367
1,2,114
1,3,16
1,4,123
1,5,284
1,6,6
1,7,180
1,8,29
1,9,142
1,10,143
1,11,115
1,12,85
1,13,20
1,14,3
1,15,2
1,16,0
1,17,61
1,18,119
1,19,30
2,0,501
2,1,1
2,2,10
2,3,1
2,4,352
2,5,18
2,6,18
2,7,3
2,8,18
2,9,64
2,10,5
2,11,164
2,12,107
2,13,137
2,14,146
2,15,1
2,16,129
2,17,3
2,18,2
2,19,45
3,0,1
3,1,197
3,2,255
3,3,127
3,4,38
3,5,199
3,6,41
3,7,365
3,8,85
3,9,0
3,10,17
3,11,144
3,12,87
3,13,8
3,14,3
3,15,13
3,16,6
3,17,1
3,18,86
3,19,14
4,0,3
4,1,30
4,2,10
4,3,1
4,4,103
4,5,1
4,6,1
4,7,15
4,8,177
4,9,10
4,10,86
4,11,4
4,12,4
4,13,346
4,14,35
4,15,49
4,16,22
4,17,68
4,18,1
4,19,76
5,0,8
5,1,4
5,2,22
5,3,281
5,4,32
5,5,18
5,6,38
5,7,64
5,8,262
5,9,10
5,10,0
5,11,13
5,12,2
5,13,63
5,14,20
5,15,55
5,16,208
5,17,0
5,18,312
5,19,82
6,0,39
6,1,7
6,2,29
6,3,23
6,4,8
6,5,161
6,6,9
6,7,2
6,8,20
6,9,462
6,10,300
6,11,58
6,12,0
6,13,3
6,14,33
6,15,29
6,16,137
6,17,505
6,18,3
6,19,16
7,0,18
7,1,62
7,2,27
7,3,81
7,4,68
7,5,0
7,6,17
7,7,132
7,8,29
7,9,35
7,10,8
7,11,182
7,12,253
7,13,57
7,14,208
7,15,149
7,16,42
7,17,61
7,18,43
7,19,81
8,0,18
8,1,36
8,2,133
8,3,220
8,4,45
8,5,3
8,6,405
8,7,3
8,8,38
8,9,3
8,10,71
8,11,33
8,12,247
8,13,42
8,14,62
8,15,213
8,16,30
8,17,20
8,18,48
8,19,60
9,0,0
9,1,4
9,2,109
9,3,36
9,4,0
9,5,22
9,6,13
9,7,15
9,8,10
9,9,12
9,10,169
9,11,79
9,12,2
9,13,63
9,14,103
9,15,195
9,16,3
9,17,24
9,18,6
9,19,71
