round,client_id,epoch,phase,loss,accuracy,precision,recall,f1
1,3,1,train,1.9010539142524494,0.44878957169459965,0.06486654252017379,0.006517690875232775,0.011845194721075217
1,2,1,train,1.3816871891419094,0.6285785411999004,0.018599804912101937,0.0948469006721434,0.03082039621528577
1,1,1,train,1.4546795500209555,0.5695769136708242,0.11842749983283919,0.021765712888236734,0.03598709203529032
1,5,1,train,1.5109474574233972,0.6142506142506142,0.10571570238137225,0.015356265356265357,0.024929694733200808
1,0,1,train,1.4721010371953427,0.614923134608174,0.03662332906061161,0.008998875140607425,0.014447735317488984
1,4,1,train,1.145190935913879,0.7963772642098688,0.010835926282350845,0.05933791380387258,0.01827645463726726
1,-1,1,validation,0.1609646668800941,0.323342175066313,0.38103389710330443,0.323342175066313,0.2617708485211767
2,3,1,train,1.4056265950202942,0.6368715083798883,0.3483997610833362,0.10893854748603352,0.08237799592241722
2,4,1,train,0.8036989968380716,0.8588382261086821,0.05570850101353355,0.0886945658963148,0.06772047159726689
2,2,1,train,0.9546210649053729,0.7475728155339806,0.6092274228563315,0.40004978839930294,0.3786602759199947
2,1,1,train,1.0219040357042104,0.7018831010026902,0.6473508715512397,0.45659085350941553,0.47564427734322456
2,5,1,train,0.9456204479815913,0.812039312039312,0.6541706726938862,0.41646191646191644,0.4899713076172605
2,0,1,train,1.0277283095314118,0.7367829021372329,0.361164438069074,0.17547806524184478,0.11578801387687734
2,-1,1,validation,0.1352551579791608,0.4005305039787798,0.40811873043576585,0.4005305039787798,0.33900347216714
3,4,1,train,0.6462064149356125,0.8850718301061836,0.08501169109017181,0.08806995627732667,0.08488980296621644
3,2,1,train,0.767621585241859,0.7759522031366691,0.8143240331538082,0.5603684341548419,0.5838176296584241
3,5,1,train,0.705251509798508,0.8445945945945945,0.6567278564034844,0.5116707616707616,0.5607272161599915
3,0,1,train,0.8446107414846649,0.769028871391076,0.3527915698856149,0.19985001874765654,0.13165537896744853
3,3,1,train,1.1408589648849823,0.7150837988826815,0.3592204749991768,0.1452513966480447,0.13573809481396523
3,1,1,train,0.8220017199637368,0.7539740767913915,0.7788215971223101,0.5651748593788213,0.5823924009145016
3,-1,1,validation,0.11793920898943427,0.43713527851458883,0.4398771447801794,0.43713527851458883,0.38181851352672913
4,2,1,train,0.6593487625202489,0.8058252427184466,0.8415963083159799,0.5929798356982823,0.6304605274184454
4,4,1,train,0.4902299129136718,0.9069331667707682,0.09264587620056516,0.08244846970643348,0.08531801848375091
4,1,1,train,0.6901203209999949,0.7867449254096356,0.8144875987554983,0.6617754952311079,0.6892556104271804
