model,training_type,num_clients,run_id,timestamp,round,client_id,epoch,phase,loss,accuracy,precision,recall,f1_score
BART-Large,Federated,2,20250825_080640,20250825_080640,1,0,1,train,0.9866303306351614,0.6960504284447946,0.7956064426926844,0.7859745887914902,0.781246122619595
BART-Large,Federated,2,20250825_080640,20250825_080640,1,1,1,train,1.001728309832465,0.6569165143205362,0.7925214832087297,0.7812309567336989,0.7693230633572165
BART-Large,Federated,2,20250825_080640,20250825_080640,1,-1,1,validation,0.1987713905797397,0.5848806366047745,0.4790866947355092,0.5848806366047745,0.5136239646601856
BART-Large,Federated,2,20250825_080640,20250825_080640,2,1,1,train,0.706641003962715,0.7529961405646963,0.8165161580075931,0.8198253097704652,0.8132601681246303
BART-Large,Federated,2,20250825_080640,20250825_080640,2,0,1,train,0.693953906016527,0.7838077415542204,0.8462892064936253,0.8352211169112578,0.8312862312281943
BART-Large,Federated,2,20250825_080640,20250825_080640,2,-1,1,validation,0.15822642288054647,0.6236074270557029,0.6160133183609262,0.6236074270557029,0.5770300547662449
BART-Large,Federated,2,20250825_080640,20250825_080640,3,1,1,train,0.6207025208837026,0.7846841356896201,0.8627043192476708,0.848669510461101,0.8463745705854429
BART-Large,Federated,2,20250825_080640,20250825_080640,3,0,1,train,0.5456441120719391,0.826061262680981,0.8864462597019813,0.8787550477691323,0.8793587103010607
BART-Large,Federated,2,20250825_080640,20250825_080640,3,-1,1,validation,0.1423873036121579,0.6710875331564987,0.7259999121654341,0.6710875331564987,0.6360624499620984
BART-Large,Federated,2,20250825_080640,20250825_080640,4,0,1,train,0.4493303497726149,0.8575790406776322,0.9032378868693426,0.9003250270855905,0.9000734930085446
BART-Large,Federated,2,20250825_080640,20250825_080640,4,1,1,train,0.5586760109978389,0.8060125939467804,0.8661333989733139,0.8580134064594759,0.8538888536684475
BART-Large,Federated,2,20250825_080640,20250825_080640,4,-1,1,validation,0.12933733604937317,0.6981432360742705,0.7274751467489781,0.6981432360742705,0.6760718016827343
BART-Large,Federated,2,20250825_080640,20250825_080640,5,1,1,train,0.48529123486769565,0.8283566930733293,0.8915709484009107,0.8870607353239894,0.8858233793647191
BART-Large,Federated,2,20250825_080640,20250825_080640,5,0,1,train,0.3675958327455886,0.8832857283561509,0.9121209782340224,0.9084014576972324,0.9086993246754254
BART-Large,Federated,2,20250825_080640,20250825_080640,5,-1,1,validation,0.1322980710954976,0.7140583554376658,0.742605272444749,0.7140583554376658,0.7011860671443751
BART-Large,Federated,2,20250825_080640,20250825_080640,6,1,1,train,0.4328453128619948,0.8476538695917124,0.8989426343251207,0.8913264269754215,0.88854618380043
BART-Large,Federated,2,20250825_080640,20250825_080640,6,0,1,train,0.3013604768473054,0.9040677632226928,0.9341761078602796,0.9271151383827441,0.9263361053305399
BART-Large,Federated,2,20250825_080640,20250825_080640,6,-1,1,validation,0.13398609480762544,0.6994694960212201,0.74210471286182,0.6994694960212201,0.6849695953291057
BART-Large,Federated,2,20250825_080640,20250825_080640,7,1,1,train,0.3917256608860894,0.8641072516758075,0.9102918512059712,0.9079829372333943,0.9075917527055193
BART-Large,Federated,2,20250825_080640,20250825_080640,7,0,1,train,0.25359234135537445,0.9183492563774254,0.9439685775784032,0.9391312912439673,0.9403101105989792
BART-Large,Federated,2,20250825_080640,20250825_080640,7,-1,1,validation,0.13597570466284026,0.713527851458886,0.7454388513866024,0.713527851458886,0.7021964017866296
BART-Large,Federated,2,20250825_080640,20250825_080640,8,1,1,train,0.3531325955163875,0.8799512492382694,0.9354328424581276,0.9289051391427992,0.9303322511633826
BART-Large,Federated,2,20250825_080640,20250825_080640,8,0,1,train,0.21493505129084636,0.9310548606323255,0.9570857386359762,0.9546931941298138,0.9548371868412587
BART-Large,Federated,2,20250825_080640,20250825_080640,8,-1,1,validation,0.13826819849861366,0.726525198938992,0.7476933294492131,0.726525198938992,0.7114046858447545
BART-Large,Federated,2,20250825_080640,20250825_080640,9,0,1,train,0.1821102066314321,0.9417906037624347,0.9596581097429205,0.9548901802422929,0.9559613689274057
BART-Large,Federated,2,20250825_080640,20250825_080640,9,1,1,train,0.30507459444585017,0.8933577087141986,0.9368675079885135,0.935405240706886,0.9352331328273423
BART-Large,Federated,2,20250825_080640,20250825_080640,9,-1,1,validation,0.14522412101894405,0.7193633952254642,0.7489194690385391,0.7193633952254642,0.7057056365689052
BART-Large,Federated,2,20250825_080640,20250825_080640,10,0,1,train,0.1725572035027811,0.943858957943465,0.960761294973261,0.9578449719294789,0.9583924885214791
BART-Large,Federated,2,20250825_080640,20250825_080640,10,1,1,train,0.276624432575489,0.9055453991468617,0.9480935491554706,0.9447491367052611,0.9451454627999525
BART-Large,Federated,2,20250825_080640,20250825_080640,10,-1,1,validation,0.14585066511113856,0.7318302387267904,0.7576931470373263,0.7318302387267904,0.7212846552156643
BART-Large,Federated,2,20250825_080640,20250825_080640,11,1,1,train,0.24499506189244272,0.916717448710136,0.9557720520937911,0.952671135486492,0.9530307564450241
BART-Large,Federated,2,20250825_080640,20250825_080640,11,0,1,train,0.15582525141321316,0.9488821038116813,0.9624059288401864,0.9602088052792278,0.9605583653192692
BART-Large,Federated,2,20250825_080640,20250825_080640,11,-1,1,validation,0.15282811017070722,0.7127320954907161,0.7446778418720668,0.7127320954907161,0.7024446441489081
BART-Large,Federated,2,20250825_080640,20250825_080640,12,1,1,train,0.23038893067595465,0.9211862685354458,0.9594048854958416,0.9583587243550681,0.9584720788238408
BART-Large,Federated,2,20250825_080640,20250825_080640,12,0,1,train,0.13611788745913617,0.9549886732985324,0.9646243439420907,0.956761548310844,0.9587382886637242
BART-Large,Federated,2,20250825_080640,20250825_080640,12,-1,1,validation,0.14902889978741815,0.729973474801061,0.7578629765573954,0.729973474801061,0.7209791567401017
BART-Large,Federated,2,20250825_080640,20250825_080640,13,1,1,train,0.20022485101298435,0.9289051391427992,0.9590860158476501,0.956936827137924,0.9573732690502434
BART-Large,Federated,2,20250825_080640,20250825_080640,13,0,1,train,0.1315235672942679,0.9553826455234906,0.9651318009648954,0.9631635969664138,0.9635333271892662
BART-Large,Federated,2,20250825_080640,20250825_080640,13,-1,1,validation,0.1518398297916658,0.7328912466843501,0.7490583875987191,0.7328912466843501,0.7258404073419615
BART-Large,Federated,2,20250825_080640,20250825_080640,14,1,1,train,0.18202652879510614,0.9406865732277067,0.9612418726239298,0.9536867763558805,0.9549194087644453
BART-Large,Federated,2,20250825_080640,20250825_080640,14,0,1,train,0.1296889969229439,0.9590268886043534,0.9616785028202469,0.9585344233231557,0.9593256406775499
BART-Large,Federated,2,20250825_080640,20250825_080640,14,-1,1,validation,0.17838394905237323,0.7217506631299735,0.7386118053795303,0.7217506631299735,0.7063598751410444
BART-Large,Federated,2,20250825_080640,20250825_080640,15,0,1,train,0.11713204730970567,0.9603072983354674,0.9645966952169207,0.9617846941790604,0.9621705123187865
BART-Large,Federated,2,20250825_080640,20250825_080640,15,1,1,train,0.1816700517037689,0.9394678041844404,0.9566459124507951,0.9549055453991468,0.9551676227703704
BART-Large,Federated,2,20250825_080640,20250825_080640,15,-1,1,validation,0.1783768805060091,0.7127320954907161,0.7436380131592613,0.7127320954907161,0.6985678223472214
BART-Large,Federated,2,20250825_080640,20250825_080640,16,1,1,train,0.1603784111100506,0.9479991874873045,0.9652382172467459,0.9632338005281332,0.9635759568954239
BART-Large,Federated,2,20250825_080640,20250825_080640,16,0,1,train,0.11942682230320194,0.9619816802915394,0.9702141263149998,0.9661183886535999,0.9670558148666245
BART-Large,Federated,2,20250825_080640,20250825_080640,16,-1,1,validation,0.17286276102133358,0.7283819628647215,0.7499769343330256,0.7283819628647215,0.7183943843776134
BART-Large,Federated,2,20250825_080640,20250825_080640,17,0,1,train,0.12085295461511696,0.9611937358416232,0.9673847214375882,0.9645424997537674,0.9651167304947044
BART-Large,Federated,2,20250825_080640,20250825_080640,17,1,1,train,0.14611265169352988,0.9508429819215926,0.9527023309368168,0.9477960593134268,0.9475892856060223
BART-Large,Federated,2,20250825_080640,20250825_080640,17,-1,1,validation,0.17088930006129716,0.7387267904509284,0.7566602928829841,0.7387267904509284,0.729943799154663
BART-Large,Federated,2,20250825_080640,20250825_080640,18,0,1,train,0.11046552548621434,0.9655274303161627,0.9733458438804975,0.9673987983847139,0.9688024297632242
BART-Large,Federated,2,20250825_080640,20250825_080640,18,1,1,train,0.13523680226447957,0.9534836481820028,0.9673487525759095,0.9670932358318098,0.9669509320510365
BART-Large,Federated,2,20250825_080640,20250825_080640,18,-1,1,validation,0.18492073895596833,0.726525198938992,0.7489773847181642,0.726525198938992,0.7150518581112246
BART-Large,Federated,2,20250825_080640,20250825_080640,19,0,1,train,0.10930398482554679,0.9645424997537674,0.9571274193514921,0.9535112774549395,0.9536225437138429
BART-Large,Federated,2,20250825_080640,20250825_080640,19,1,1,train,0.13500321042769217,0.9542961608775137,0.9511346860263734,0.9471866747917936,0.9472158235733338
BART-Large,Federated,2,20250825_080640,20250825_080640,19,-1,1,validation,0.1749085710377853,0.7323607427055703,0.7503071464152914,0.7323607427055703,0.7214091825540581
BART-Large,Federated,2,20250825_080640,20250825_080640,20,1,1,train,0.12522469716636156,0.9565305707901686,0.9738101193759932,0.9717651838309974,0.9722507707044968
BART-Large,Federated,2,20250825_080640,20250825_080640,20,0,1,train,0.10900970765637687,0.9651334580912045,0.9712434140245549,0.9676942775534325,0.9684890665933905
BART-Large,Federated,2,20250825_080640,20250825_080640,20,-1,1,validation,0.17210758648732022,0.7395225464190981,0.7543118767011568,0.7395225464190981,0.7309412146828975
BART-Large,Federated,2,20250825_080640,20250825_080640,21,0,1,train,0.11003785064798234,0.9640500344725697,0.969827690296145,0.966315374766079,0.9671083013831802
BART-Large,Federated,2,20250825_080640,20250825_080640,21,1,1,train,0.11054962936249432,0.9632338005281332,0.9675096108277411,0.9658744667885436,0.9660574492971163
BART-Large,Federated,2,20250825_080640,20250825_080640,21,-1,1,validation,0.1929821148244553,0.7238726790450929,0.7397391917319351,0.7238726790450929,0.7106721132442217
BART-Large,Federated,2,20250825_080640,20250825_080640,22,1,1,train,0.12262093301383588,0.9589681088767013,0.9721624505161179,0.9705464147877311,0.9708374401911273
BART-Large,Federated,2,20250825_080640,20250825_080640,22,0,1,train,0.09874870539144438,0.9676942775534325,0.9743757640547415,0.9715355067467744,0.9721899033661222
BART-Large,Federated,2,20250825_080640,20250825_080640,22,-1,1,validation,0.17396388892194753,0.7435013262599469,0.7572115100701421,0.7435013262599469,0.7384285438218183
BART-Large,Federated,2,20250826_041211,20250826_041211,1,0,1,train,1.2704933453497413,0.6124741031512376,0.7790524054755217,0.7668738414567658,0.7628820438229394
BART-Large,Federated,2,20250826_041211,20250826_041211,1,1,1,train,1.1372446416699515,0.665198983911939,0.7864619872337751,0.7842506350550381,0.7728893507878398
BART-Large,Federated,2,20250826_041211,20250826_041211,1,-1,1,validation,0.11228434058988285,0.7145888594164457,0.7205170566745143,0.7145888594164457,0.7072667780376299
BART-Large,Federated,2,20250826_041211,20250826_041211,2,1,1,train,0.7692249076534189,0.7620660457239627,0.8370765303131882,0.8364098221845894,0.8314511347264265
BART-Large,Federated,2,20250826_041211,20250826_041211,2,0,1,train,0.8230029500813045,0.7475738741685749,0.833917428493377,0.7938065641696652,0.7977866197011444
BART-Large,Federated,2,20250826_041211,20250826_041211,2,-1,1,validation,0.10856618871591214,0.7238726790450929,0.7475401115039073,0.7238726790450929,0.7252943433328762
BART-Large,Federated,2,20250826_041211,20250826_041211,3,0,1,train,0.6713892939015769,0.7860647693817469,0.8580216961123225,0.851379347944608,0.8519167570365239
BART-Large,Federated,2,20250826_041211,20250826_041211,3,1,1,train,0.6447724534163355,0.8005080440304826,0.8731307036530057,0.8548687552921254,0.8520111687646454
BART-Large,Federated,2,20250826_041211,20250826_041211,3,-1,1,validation,0.10613732742076487,0.7363395225464191,0.7500580632689825,0.7363395225464191,0.7352843318177626
BART-Large,Federated,2,20250826_041211,20250826_041211,4,1,1,train,0.5677915008685707,0.825571549534293,0.8906536626416491,0.8831498729889924,0.8779105120141383
BART-Large,Federated,2,20250826_041211,20250826_041211,4,0,1,train,0.5508598641191188,0.8269545305855414,0.8820016229268115,0.8737324174026824,0.8719411014071214
BART-Large,Federated,2,20250826_041211,20250826_041211,4,-1,1,validation,0.10531594224116056,0.7522546419098143,0.7617380108483668,0.7522546419098143,0.7510589443760878
BART-Large,Federated,2,20250826_041211,20250826_041211,5,1,1,train,0.4872188834499956,0.8494496189669771,0.9147413700482286,0.9117696867061812,0.909247874546796
BART-Large,Federated,2,20250826_041211,20250826_041211,5,0,1,train,0.45098881007829045,0.856831316105114,0.9193028377085726,0.9141860211536365,0.9150026725753844
BART-Large,Federated,2,20250826_041211,20250826_041211,5,-1,1,validation,0.10039100153544617,0.7636604774535809,0.7711511664257761,0.7636604774535809,0.7630938374228343
BART-Large,Federated,2,20250826_041211,20250826_041211,6,0,1,train,0.3684301680849529,0.879838621742449,0.9257303425346755,0.9207283829462436,0.9207642546210201
BART-Large,Federated,2,20250826_041211,20250826_041211,6,1,1,train,0.4216125896899975,0.8684165961049958,0.9268369498063632,0.9180355630821337,0.917278391210719
BART-Large,Federated,2,20250826_041211,20250826_041211,6,-1,1,validation,0.10848158488268729,0.7586206896551724,0.775895105716681,0.7586206896551724,0.7586667709989753
BART-Large,Federated,2,20250826_041211,20250826_041211,7,0,1,train,0.30088083629732676,0.9031730454694145,0.9329258077245447,0.9280340202813215,0.9281751652181057
BART-Large,Federated,2,20250826_041211,20250826_041211,7,1,1,train,0.35993576062249627,0.8858594411515665,0.932971625192122,0.9288738357324301,0.9271610177673384
BART-Large,Federated,2,20250826_041211,20250826_041211,7,-1,1,validation,0.11089023955682643,0.7575596816976128,0.7691169974953787,0.7575596816976128,0.7576552496975941
BART-Large,Federated,2,20250826_041211,20250826_041211,8,0,1,train,0.25506028122985785,0.9185475956820413,0.9510792486032104,0.945916475847781,0.9468309430722045
BART-Large,Federated,2,20250826_041211,20250826_041211,8,1,1,train,0.31191818539134486,0.9026248941574937,0.9361365135112742,0.9312447078746825,0.9290426163761776
BART-Large,Federated,2,20250826_041211,20250826_041211,8,-1,1,validation,0.11572863059615549,0.7708222811671087,0.7744673080271566,0.7708222811671087,0.769947149754828
BART-Large,Federated,2,20250826_041211,20250826_041211,9,1,1,train,0.26735653863723247,0.9109229466553768,0.9463276296509857,0.9422523285351397,0.9411197136632897
BART-Large,Federated,2,20250826_041211,20250826_041211,9,0,1,train,0.2181882391667112,0.9319594373568858,0.954041513376868,0.9512594046450769,0.9516439676652303
BART-Large,Federated,2,20250826_041211,20250826_041211,9,-1,1,validation,0.11911244727013415,0.7742705570291777,0.7810902295114205,0.7742705570291777,0.7747307662929197
BART-Large,Federated,2,20250826_041211,20250826_041211,10,0,1,train,0.18383180599921742,0.942209137498637,0.9598315285180672,0.9544215461781703,0.9552720266007695
BART-Large,Federated,2,20250826_041211,20250826_041211,10,1,1,train,0.22951508610922383,0.9281964436917867,0.9529741610686575,0.9507197290431837,0.9504296123111705
BART-Large,Federated,2,20250826_041211,20250826_041211,10,-1,1,validation,0.12541669140760084,0.7676392572944297,0.7774525494347536,0.7676392572944297,0.7659617663851932
BART-Large,Federated,2,20250826_041211,20250826_041211,11,1,1,train,0.2097100541426051,0.9303979678238781,0.9628247664946361,0.9578323454699408,0.9588961457591908
BART-Large,Federated,2,20250826_041211,20250826_041211,11,0,1,train,0.17551620961947925,0.9463526333006215,0.9561034791808486,0.9497328535601353,0.9509671804243071
BART-Large,Federated,2,20250826_041211,20250826_041211,11,-1,1,validation,0.12532302821353042,0.7697612732095491,0.7816389026061702,0.7697612732095491,0.7720531607416815
BART-Large,Federated,2,20250826_041211,20250826_041211,12,0,1,train,0.15450761413518407,0.9507142078290263,0.9551653219057906,0.9490786173808745,0.9503357387513213
BART-Large,Federated,2,20250826_041211,20250826_041211,12,1,1,train,0.17992832775437084,0.9424216765453006,0.9520767233798783,0.9500423370025403,0.9487533464692103
BART-Large,Federated,2,20250826_041211,20250826_041211,12,-1,1,validation,0.1351645506108078,0.7692307692307693,0.772715485689786,0.7692307692307693,0.7663928868669568
BART-Large,Federated,2,20250826_041211,20250826_041211,13,1,1,train,0.17216398206388853,0.9432684165961049,0.9660952317751706,0.9644369178662151,0.9648783712925633
BART-Large,Federated,2,20250826_041211,20250826_041211,13,0,1,train,0.15207536783257494,0.9524588376403882,0.9560273746352975,0.946788790753462,0.94884097484827
BART-Large,Federated,2,20250826_041211,20250826_041211,13,-1,1,validation,0.1340266261943795,0.7694960212201591,0.7878486637679833,0.7694960212201591,0.7739084219343274
BART-Large,Federated,2,20250826_041211,20250826_041211,14,1,1,train,0.15482758874715877,0.9493649449618967,0.9513482586815278,0.9486875529212532,0.9482617183406761
BART-Large,Federated,2,20250826_041211,20250826_041211,14,0,1,train,0.1414431882063818,0.9546396249045905,0.9724638623813644,0.9658706793152328,0.9675169268327308
BART-Large,Federated,2,20250826_041211,20250826_041211,14,-1,1,validation,0.1452690148257318,0.7710875331564987,0.778889240140282,0.7710875331564987,0.7707424302943068
BART-Large,Federated,2,20250826_041211,20250826_041211,15,0,1,train,0.13638700240773963,0.9575836877112638,0.9643017214978378,0.9605277505179369,0.9613292548167365
BART-Large,Federated,2,20250826_041211,20250826_041211,15,1,1,train,0.14760072898523047,0.9525825571549534,0.9692879301706311,0.9671464860287892,0.967504224783391
BART-Large,Federated,2,20250826_041211,20250826_041211,15,-1,1,validation,0.15379724807698225,0.7644562334217506,0.7779470993289348,0.7644562334217506,0.7655006792001252
BART-Large,Federated,2,20250826_041211,20250826_041211,16,0,1,train,0.13121677445377278,0.9599825537018863,0.9729223727259095,0.9657616399520227,0.9675320130941755
