round,client_id,epoch,phase,loss,accuracy,precision,recall,f1
1,1,1,train,2.6849051902168677,0.26724137931034486,0.06194005174690711,0.04774535809018567,0.010467580606195853
1,7,1,train,2.715851964448628,0.25746516257465163,0.0020501847929476685,0.03185136031851361,0.003358874687966627
1,6,1,train,2.6962820806001364,0.26542800265428,0.026917830955140686,0.0371599203715992,0.006592986935372853
1,9,1,train,2.6960480828034252,0.25082946250829463,0.029807081713572978,0.0338420703384207,0.005607975787787075
1,5,1,train,2.735875870052137,0.23806366047745356,0.00906161380176556,0.04045092838196287,0.00903927298034573
1,-1,1,validation,0.14352948427411122,0.45977011494252873,0.48376432233643774,0.45977011494252873,0.42754076672257846
2,2,1,train,2.0178837688345657,0.47679045092838196,0.495915832940753,0.46286472148541113,0.43197510162450464
2,0,1,train,2.0447773117768135,0.46419098143236076,0.5051981114189248,0.4376657824933687,0.40676891313481467
2,8,1,train,2.0241483261710718,0.47710683477106836,0.5049263410568796,0.46118115461181153,0.43548885398809434
2,7,1,train,2.003095091016669,0.5063039150630392,0.5376722728361265,0.46980756469807566,0.43337443796375014
2,6,1,train,1.978991383000424,0.49834107498341074,0.5356053858573112,0.48573324485733244,0.448764484758555
2,-1,1,validation,0.11035501324529673,0.5605658709106985,0.5709695449574224,0.5605658709106985,0.5267384601511772
3,9,1,train,1.6220469349309017,0.5700066357000664,0.5734790568196723,0.5792966157929662,0.5443448982862923
3,2,1,train,1.624393381570515,0.5576923076923077,0.6053374322177648,0.593501326259947,0.5615731395795185
3,6,1,train,1.5720229945684734,0.5640345056403451,0.6184436917237973,0.6065029860650298,0.5748777317280129
3,3,1,train,1.6228506088256835,0.5702917771883289,0.5760348677923678,0.5895225464190982,0.5556175103722812
3,0,1,train,1.6342491300482498,0.5517241379310345,0.6013840495409762,0.5742705570291777,0.5421094195992179
3,-1,1,validation,0.09208831072486048,0.6056587091069849,0.5827153783926449,0.6056587091069849,0.5807734640159369
4,4,1,train,1.397468648458782,0.616710875331565,0.625831258401126,0.6379310344827587,0.6137089003160534
4,7,1,train,1.3714900286574112,0.6224286662242866,0.6318071878932235,0.6403450564034505,0.6172156394044842
4,1,1,train,1.3925118258124904,0.6246684350132626,0.6379691725996325,0.6485411140583555,0.6325388345141774
4,3,1,train,1.3765300098218416,0.6187002652519894,0.6293468866748937,0.6492042440318302,0.622069029258655
4,0,1,train,1.3892609062947725,0.593501326259947,0.6161858257017678,0.6372679045092838,0.6122911850495263
4,-1,1,validation,0.08126403824825608,0.6312997347480106,0.6200058101785223,0.6312997347480106,0.6159661656427428
5,2,1,train,1.2561520024349815,0.6372679045092838,0.6621570630952284,0.6671087533156499,0.6531086628006392
5,5,1,train,1.3479335797460457,0.6067639257294429,0.6021096624106261,0.6147214854111406,0.5960183768046429
5,0,1,train,1.19021317205931,0.6591511936339522,0.6534616191784652,0.6704244031830239,0.6515345713681194
5,4,1,train,1.208593551736129,0.6584880636604774,0.6727151075962255,0.6770557029177718,0.6583017272126832
5,6,1,train,1.1851808554247807,0.6536164565361646,0.6585705340944236,0.6675514266755143,0.6503066258691133
5,-1,1,validation,0.07517654341369683,0.6436781609195402,0.6279515045002908,0.6436781609195402,0.6319072368981298
6,4,1,train,1.0788146486407832,0.6883289124668436,0.6974559571750899,0.7068965517241379,0.6968001724407877
6,8,1,train,1.1602977815427278,0.6668878566688785,0.665107864754596,0.6721964167219642,0.662770103022675
6,5,1,train,1.2439554879539891,0.6405835543766578,0.6341471382370215,0.6518567639257294,0.638477531454291
6,2,1,train,1.1249330730814682,0.6710875331564986,0.688029529498161,0.696949602122016,0.6885451279514319
6,9,1,train,1.134406452429922,0.6662242866622428,0.7208269725220542,0.6894492368944923,0.6799082069749597
6,-1,1,validation,0.07176434240121951,0.6560565870910698,0.6404848146156853,0.6560565870910698,0.6446234967047518
7,7,1,train,1.0684176263056304,0.6741871267418712,0.6845003135615007,0.6921035169210352,0.6835662006276868
7,2,1,train,1.0218162756217153,0.6949602122015915,0.714308433521704,0.7248010610079576,0.7160429863016533
7,3,1,train,1.0633896724173897,0.6737400530503979,0.6790534647927896,0.6996021220159151,0.6861099898256982
7,0,1,train,1.0112992845083537,0.6856763925729443,0.7391840390867015,0.7155172413793104,0.7056893159593742
7,6,1,train,1.0023052968476949,0.6987392169873923,0.6970399494545987,0.7106834771068348,0.6989587976185133
7,-1,1,validation,0.06982782338173595,0.6587091069849691,0.6452617274342954,0.6587091069849691,0.6479398960737599
8,1,1,train,1.0336761380496777,0.696949602122016,0.6997884242229214,0.7049071618037135,0.6986339033143678
8,8,1,train,1.0115992781363035,0.6921035169210351,0.7038274409366401,0.7120106171201062,0.7020774799931222
8,2,1,train,0.9550919438663282,0.7062334217506632,0.751886819441725,0.7440318302387268,0.7385814274083008
8,4,1,train,0.9519191469016828,0.7287798408488064,0.7274237265479977,0.7374005305039788,0.7282961146974243
8,7,1,train,0.9783030164869209,0.7053749170537492,0.7503738116228379,0.7219641672196416,0.7162110101083876
8,-1,1,validation,0.06764021357743746,0.6710875331564987,0.6601574409547873,0.6710875331564987,0.6604727123002216
9,4,1,train,0.8704867428854892,0.7453580901856763,0.7831496852450313,0.7745358090185677,0.7683929616143224
9,1,1,train,0.9210766823668229,0.7314323607427056,0.7385009989593043,0.7400530503978779,0.7353119470882452
9,5,1,train,1.0902531978331114,0.6750663129973475,0.7008599754937209,0.6976127320954907,0.6877746788365935
9,7,1,train,0.9082098148371044,0.7305905773059058,0.7886839718556565,0.7631055076310551,0.7569185965751094
9,0,1,train,0.8937929300885451,0.7068965517241379,0.770751309448254,0.7473474801061007,0.7379850645329006
9,-1,1,validation,0.06662465533147756,0.6852343059239611,0.6817369389166323,0.6852343059239611,0.67570937979345
10,1,1,train,0.861043169623927,0.7513262599469496,0.7774864775549999,0.7619363395225465,0.7584638225514481
10,7,1,train,0.8184623562975933,0.7558062375580624,0.7933105143619738,0.7790311877903119,0.7740579910119216
10,8,1,train,0.9168020053913719,0.721300597213006,0.7278370774984496,0.7352355673523556,0.7265415155974952
10,3,1,train,0.9113883856095766,0.7221485411140585,0.7364825043497005,0.7387267904509284,0.7279069109769941
10,2,1,train,0.8572485468889538,0.7400530503978779,0.7837303592864203,0.7712201591511937,0.765061472308298
10,-1,1,validation,0.06581565724549096,0.6799292661361627,0.6728755607671765,0.6799292661361627,0.668699514724873
11,0,1,train,0.8010347096543563,0.7420424403183025,0.7737660024647224,0.7725464190981433,0.7638582263416192
11,5,1,train,0.9811709974941455,0.6982758620689655,0.7252609827313584,0.71684350132626,0.7076969420849961
11,7,1,train,0.7515914562501406,0.7850033178500331,0.8024972769182367,0.794293297942933,0.7894979714095494
11,2,1,train,0.7877754098490665,0.7679045092838196,0.8055547213157596,0.7937665782493368,0.7900868019295361
11,6,1,train,0.8515517983781664,0.7438619774386197,0.7595184395430279,0.747843397478434,0.737882849836995
11,-1,1,validation,0.06513740982659405,0.6878868258178603,0.6851538511256688,0.6878868258178603,0.6794442049519018
12,5,1,train,0.9174047272456319,0.7155172413793103,0.7536215643221889,0.746684350132626,0.7385492591449629
12,8,1,train,0.854993506481773,0.7405441274054412,0.7688922169867964,0.7710683477106834,0.762676978246265
12,2,1,train,0.7235277321777845,0.7864721485411141,0.8212802779893045,0.8110079575596817,0.8083167970782922
12,1,1,train,0.7841345921943063,0.7725464190981433,0.7802779154351696,0.7765251989389921,0.7723644332819113
12,3,1,train,0.8404627799987793,0.7360742705570291,0.7621609295492502,0.7672413793103449,0.7578423042524581
12,-1,1,validation,0.06457038812675274,0.6896551724137931,0.6886480079795667,0.6896551724137931,0.6832377472301185
13,4,1,train,0.7648063698881551,0.7652519893899205,0.7953833273959504,0.7904509283819628,0.7856439907953848
13,7,1,train,0.6934914904205423,0.7916390179163902,0.8274127620162098,0.8195089581950896,0.8168411554850808
13,9,1,train,0.8944190157087226,0.7140013271400133,0.7579541722819191,0.747843397478434,0.7424650072897847
13,6,1,train,0.7889922215750343,0.7558062375580624,0.7823102386073524,0.7816854678168547,0.7735314642799829
13,3,1,train,0.7644085381376116,0.7513262599469496,0.7879978143314379,0.7877984084880637,0.7803165010360716
13,-1,1,validation,0.06320652548819912,0.7038019451812555,0.7070273886824349,0.7038019451812555,0.6985034388346392
14,7,1,train,0.6457086122349689,0.8195089581950896,0.8519589768848601,0.8453881884538819,0.8434854851136254
14,3,1,train,0.7199042401815715,0.7778514588859415,0.8163191782452066,0.8103448275862069,0.8051448537315743
14,0,1,train,0.7137791073636005,0.7745358090185677,0.8075579532461061,0.8017241379310345,0.7948794024432336
14,5,1,train,0.8343719778876556,0.7427055702917772,0.7711042501452466,0.7679045092838196,0.7608169292655458
14,6,1,train,0.7345641994162609,0.7717319177173192,0.8114253516018268,0.807564698075647,0.800579229931918
14,-1,1,validation,0.0630771195751497,0.7020335985853228,0.7033223527145304,0.7020335985853228,0.6963705276373345
15,1,1,train,0.7165737445417203,0.7864721485411141,0.8181786432159742,0.8076923076923077,0.8076911480582891
15,5,1,train,0.7762545249964061,0.7685676392572944,0.7974825590941002,0.7957559681697612,0.7901645538820402
15,0,1,train,0.6444439188430183,0.7964190981432361,0.8292644341214556,0.8249336870026526,0.818206842067155
15,4,1,train,0.7070423400715777,0.7838196286472149,0.8205626860957995,0.8156498673740054,0.8136842468925555
15,2,1,train,0.6562258590208857,0.803050397877984,0.8444042962671449,0.8328912466843501,0.8317419821145496
15,-1,1,validation,0.06282303446062258,0.7020335985853228,0.7050092465974599,0.7020335985853228,0.6964253647524071
16,1,1,train,0.6326491089243638,0.8136604774535808,0.8353505748661144,0.8269230769230769,0.8255430792260691
16,4,1,train,0.625974469278988,0.803050397877984,0.8423030166959957,0.8355437665782494,0.8328534398654953
16,6,1,train,0.6668384539453607,0.7956204379562044,0.8295174882999399,0.8195089581950896,0.811819332533711
16,2,1,train,0.5947929093712254,0.820291777188329,0.8551849665054782,0.8454907161803713,0.8444007867952845
16,0,1,train,0.6005680321862823,0.8176392572944298,0.8488263392369823,0.8388594164456233,0.8315040826392864
16,-1,1,validation,0.06341094142245994,0.7055702917771883,0.7061385505592908,0.7055702917771883,0.6996259584904442
17,6,1,train,0.6071123742743543,0.8128732581287327,0.8539687400606518,0.8487060384870604,0.8430672318703768
17,7,1,train,0.5792909651994705,0.8327803583278036,0.86356062903487,0.8573324485733245,0.8562143044536916
17,2,1,train,0.5420035439102273,0.8415119363395226,0.8792382627182654,0.866710875331565,0.8666246519797806
17,8,1,train,0.7471050876535867,0.769741207697412,0.8005135286635355,0.7989382879893829,0.7935848362764037
17,5,1,train,0.7101873415081125,0.7751989389920425,0.8122081674491793,0.8076923076923077,0.8025742024996573
17,-1,1,validation,0.06329754892173434,0.7064544650751547,0.7092397447708738,0.7064544650751547,0.7016678110750886
18,3,1,train,0.6340830026488555,0.8103448275862069,0.8322402548865296,0.8282493368700266,0.825476360826032
18,4,1,train,0.5582005083560944,0.8275862068965517,0.8602304256276676,0.8527851458885941,0.8518578884093959
18,8,1,train,0.6662523268869048,0.7903118779031187,0.831840847843046,0.827471798274718,0.824599050161182
18,6,1,train,0.5551853480307679,0.8321167883211679,0.8665662309414818,0.8593231585932316,0.8563260276456337
18,7,1,train,0.5057421581525552,0.8487060384870604,0.8851971488616297,0.8772395487723955,0.8773767955175911
18,-1,1,validation,0.06384304549238726,0.7082228116710876,0.7078278743736094,0.7082228116710876,0.7017131756882973
19,0,1,train,0.5493205014028048,0.8295755968169761,0.8699383453104734,0.8587533156498673,0.8532663191681713
19,2,1,train,0.5052253065924895,0.8481432360742706,0.889553899147023,0.876657824933687,0.8762953318356291
19,3,1,train,0.5774284638856587,0.8143236074270557,0.858342327662585,0.8507957559681698,0.8471594445594675
19,8,1,train,0.6157872724297799,0.8088918380889184,0.8506427484403306,0.8467153284671532,0.8400638799233499
19,1,1,train,0.6003540794316091,0.8149867374005305,0.8521827078791687,0.8408488063660478,0.8405505550138147
19,-1,1,validation,0.06291019829578046,0.713527851458886,0.7111757489888112,0.713527851458886,0.7072762972829564
20,1,1,train,0.5306236866469446,0.8342175066312997,0.877962160269583,0.8680371352785146,0.8693459920080951
20,8,1,train,0.5594142923229619,0.8307896483078965,0.8713188815942339,0.8666224286662243,0.8644875746184131
20,0,1,train,0.4896060091100241,0.850132625994695,0.8840465854842596,0.8753315649867374,0.8731285978046188
20,6,1,train,0.509578465317425,0.845388188453882,0.8782755959089525,0.8732581287325812,0.8706322306582309
20,9,1,train,0.8097779506131222,0.7485069674850696,0.7785425767501011,0.7763769077637691,0.772569815380377
20,-1,1,validation,0.06256246843451846,0.713527851458886,0.7147707435949726,0.713527851458886,0.7089609498484601
21,7,1,train,0.4692117649865778,0.8586595885865959,0.8979647916588874,0.8898473788984738,0.8913353490440867
21,9,1,train,0.7127552552442802,0.7763769077637691,0.8114744440414368,0.8082282680822827,0.805987655579324
21,8,1,train,0.5054958763875459,0.8520238885202389,0.8947467636059191,0.8905109489051095,0.8892695527906241
21,4,1,train,0.5264643795396152,0.8362068965517241,0.8824220348466791,0.8720159151193634,0.8734805383769327
21,6,1,train,0.44920066292152594,0.8599867285998672,0.8914264506216328,0.8865295288652952,0.8854786107317212
21,-1,1,validation,0.06272009604015148,0.7214854111405835,0.7245453354825729,0.7214854111405835,0.7187918117700534
22,7,1,train,0.42075830156865873,0.8719309887193099,0.9166778675011668,0.9097544790975448,0.9109881679970075
22,5,1,train,0.6507438250278171,0.7911140583554377,0.8343687811458846,0.8295755968169761,0.8282413731423023
22,3,1,train,0.5165959550557953,0.8362068965517241,0.8729191186964856,0.8693633952254642,0.8685601322658794
22,9,1,train,0.6444088705864391,0.7976111479761114,0.8346467145150405,0.8301260783012607,0.829480945824145
22,6,1,train,0.4006392680500683,0.8832116788321167,0.9092030439883393,0.9037823490378235,0.9030797945494602
22,-1,1,validation,0.06219484595784458,0.7241379310344828,0.7269623861730692,0.7241379310344828,0.7202903631437989
